Total Counts,Casual User Count,Member User Count,Classic Bike Count,Electric Bike Count,bus,rail_boardings,total_rides,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
13994,182,13812,0,0,3884113,3651645,7535758,-73.0,-106.2,-46.1,11.1,940.0,1692.0,109.9,0.0,7146.3,0.0
8871,358,8513,0,0,3097334,2845021,5942355,-77.1,-117.3,-41.2,13.200000000000001,1219.0,1548.0,135.1,0.0,7140.7,0.0
26529,712,25817,0,0,4636591,4158927,8795518,-16.400000000000002,-48.9,8.399999999999999,23.599999999999998,25.0,981.0,121.3,0.0,7159.200000000001,0.0
22820,620,22200,0,0,4629244,4185791,8815035,-18.5,-42.9,5.1,15.8,101.0,1159.0,144.4,0.0,7090.4,0.0
23143,707,22436,0,0,4454227,3960925,8415152,-5.3,-33.9,25.0,15.500000000000002,178.0,1197.0,130.9,0.0,7145.3,0.0
26498,785,25713,0,0,4697522,4091344,8788866,-32.6,-60.5,-10.5,0.0,0.0,1770.0,102.5,0.0,7183.2,0.0
24766,921,23845,0,0,4543857,4010176,8554033,-30.8,-60.6,-2.6999999999999997,13.5,0.0,1315.0,151.0,0.0,7146.0,0.0
41588,4476,37112,0,0,4738758,4469113,9207871,33.300000000000004,0.5000000000000004,67.10000000000001,28.7,0.0,1392.0,134.0,0.0,7127.8,0.0
43978,4921,39057,0,0,4746615,4234604,8981219,33.2,2.7,62.8,6.9,0.0,1199.0,93.0,0.0,7155.7,0.0
46198,5095,41103,0,0,4658021,4020765,8678786,35.9,1.5999999999999996,71.1,24.4,0.0,891.0,129.5,0.0,7155.5,0.0
55500,8937,46563,0,0,4851845,4316845,9168690,62.8,29.4,100.5,14.0,0.0,963.0,107.8,0.0,7142.400000000001,0.0
59844,9415,50429,0,0,4655812,4344563,9000375,63.1,29.5,94.4,33.5,76.0,1214.0,159.3,0.0,7075.900000000001,0.0
67656,15763,51893,0,0,4220627,4033658,8254285,83.9,40.5,132.7,12.7,0.0,1110.0,141.2,0.0,7075.5,0.0
72366,13189,59177,0,0,4721284,4309422,9030706,84.5,51.6,122.8,34.4,25.0,1004.0,118.8,0.0,7095.2,0.0
62856,15175,47681,0,0,4848326,4365648,9213974,71.8,42.8,100.0,103.0,0.0,702.0,103.0,0.0,7119.8,0.0
62819,8525,54294,0,0,4851350,4426094,9277444,79.2,53.7,114.4,62.099999999999994,0.0,530.0,121.2,0.0,7111.0,0.0
87142,16956,70186,0,0,4709580,4241484,8951064,109.30000000000001,65.0,159.4,23.099999999999998,0.0,595.0,96.5,0.0,7075.7,0.0
96233,27128,69105,0,0,4754085,4412345,9166430,125.9,93.3,158.8,26.8,0.0,1208.0,129.4,0.0,6094.3,0.0
95817,25181,70636,0,0,4312092,3840938,8153030,130.5,91.1,172.8,94.9,0.0,1282.0,90.6,0.0,7063.5,0.0
111641,28049,83592,0,0,4937987,4579363,9517350,139.3,103.5,178.8,12.1,0.0,755.0,98.19999999999999,0.0,7090.8,0.0
99354,22704,76650,0,0,4734732,4455194,9189926,130.0,93.2,164.4,35.8,0.0,1484.0,123.30000000000001,0.0,7091.2,0.0
108973,29659,79314,0,0,4639503,4454237,9093740,132.4,100.5,168.3,21.9,0.0,344.0,89.9,0.0,7081.5,0.0
127962,38905,89057,0,0,4638819,4596571,9235390,176.7,144.9,216.70000000000002,35.8,0.0,1210.0,99.0,0.0,7099.0,0.0
118405,45047,73358,0,0,4055127,3650976,7706103,183.4,150.5,218.29999999999998,35.099999999999994,0.0,1071.0,101.4,0.0,7093.3,0.0
131931,42463,89468,0,0,4632715,4544450,9177165,182.0,144.4,220.60000000000002,0.6,0.0,760.0,91.7,0.0,7100.3,0.0
109970,30553,79417,0,0,4430087,4405314,8835401,191.1,164.4,223.9,70.7,0.0,1073.0,114.9,0.0,7078.9,0.0
140344,44761,95583,0,0,4625969,4378708,9004677,169.2,132.8,202.2,0.0,0.0,1215.0,109.3,0.0,7130.2,0.0
142356,47169,95187,0,0,4537834,4654023,9191857,165.1,131.1,194.5,29.7,0.0,424.0,81.6,0.0,7119.8,0.0
143892,48400,95492,0,0,4543349,4409638,8952987,175.3,141.7,211.6,7.2,0.0,1834.0,87.0,0.0,7082.0,0.0
119867,34853,85014,0,0,4306731,4120425,8427156,165.3,140.0,196.1,49.8,0.0,966.0,79.3,0.0,7080.0,0.0
135671,40966,94705,0,0,4456136,4300843,8756979,159.6,133.4,182.3,11.7,0.0,502.0,93.2,0.0,6101.1,0.0
121814,38435,83379,0,0,4636287,4405511,9041798,148.8,120.19999999999999,177.7,42.199999999999996,0.0,1001.0,113.0,0.0,7103.3,0.0
117199,35728,81471,0,0,4563566,4105723,8669289,142.3,116.2,167.1,5.6,0.0,1179.0,97.7,0.0,7115.6,0.0
121613,31292,90321,0,0,5053008,4719924,9772932,164.4,129.5,197.9,45.5,0.0,1288.0,105.19999999999999,0.0,7125.1,0.0
116698,27443,89255,0,0,5045783,4741328,9787111,161.5,135.6,191.0,38.1,0.0,854.0,90.6,0.0,7121.6,0.0
102702,21040,81662,0,0,4965379,4516052,9481431,134.4,110.6,162.4,92.4,0.0,1346.0,120.9,0.0,7092.6,0.0
100628,21465,79163,0,0,5234765,4493897,9728662,127.9,96.2,163.9,29.799999999999997,0.0,1138.0,108.5,0.0,7120.6,0.0
95065,19142,75923,0,0,5002785,4847217,9850002,94.9,51.699999999999996,133.4,14.0,0.0,984.0,115.5,0.0,7118.8,0.0
92071,20599,71472,0,0,4784594,4645254,9429848,74.6,42.3,109.0,0.8,0.0,1279.0,97.0,0.0,7096.6,0.0
72827,10983,61844,0,0,4652621,4436746,9089367,70.0,43.9,92.9,91.99999999999999,0.0,1269.0,122.9,0.0,7091.0,0.0
48130,5724,42406,0,0,4598754,4309633,8908387,29.5,1.2000000000000002,56.099999999999994,40.6,76.0,1640.0,115.7,0.0,7137.3,0.0
